codigo_osinergmin,marca,zona,distrito,direccion,lat,lon,premium_lista,descuento,premium_final,regular_lista,diesel_lista
"9462","COESTI (Primax)","LIMA","ATE","AV. NICOLAS AYLLÓN N° 2162","-12.063482","-76.9814","23.05","1","22.05","21.89","24.99"
"15725","COESTI (Primax)","CALLAO","LA PERLA","AV. LA PAZ N° 2326","-12.075922","-77.11469","23.05","1","22.05","21.75","26.19"
"7309","COESTI (Primax)","LIMA","SAN MARTIN DE PORRES","MZ. B, LT. 5 Y 15, URB. VILLA UNIVERSITARIA","-11.995721","-77.084946","23.09","1","22.09","21.95","26.05"
"21665","Primax afiliada","LIMA","MIRAFLORES","ESQ. AV. LA PAZ Y AV. ARMENDARIZ N° 575","-12.135003","-77.02521","23.09","1","22.09","21.09","24.89"
"21558","COESTI (Primax)","LIMA","BARRANCO","AV. EL SOL Nº 697, ESQUINA CON AV. REPUBLICA DE PANAMA","-12.138856","-77.017944","23.09","1","22.09","21.49","25.25"
"18639","COESTI (Primax)","LIMA","SURQUILLO","AV. REPÚBLICA DE PANAMÁ N° 5160","-12.116012","-77.018524","23.19","1","22.19","21.19","24.89"
"40353","COESTI (Primax)","LIMA","SANTIAGO DE SURCO","AV. CIRCUNVALACION N° 377, ESQ. CON PROLONGACIÓN BENAVIDES","-12.131079","-76.97757","23.19","1","22.19","21.45","25.75"
"41547","COESTI (Primax)","LIMA","SANTIAGO DE SURCO","AV. JORGE CHAVEZ N° 870 - 877, ESQ. AV. ROOSVELT","-12.146861","-77.01171","23.19","1","22.19","21.39","25.39"
"40709","COESTI (Primax)","LIMA","LA MOLINA","AV. LA MOLINA Nº 580, ESQ. CON LA CALLE LAS MANDARINAS","-12.064305","-76.96035","23.19","1","22.19","22.09","25.49"
"84588","COESTI (Primax)","LIMA","LA MOLINA","AV. JAVIER PRADO ESTE MZ. O - 6 LOTE 3, ESQUINA CALLE TOULON, URB. LA RIVERA DE MONTERRICO","-12.070613","-76.953354","23.19","1","22.19","22.09","25.49"
"15496","COESTI (Primax)","LIMA","SAN JUAN DE LURIGANCHO","AV. WIESSE SECTOR III, MZ. G8, LOTE 41, PROGRAMA CIUDAD MARISCAL CÁCERES","-11.946224","-76.984344","23.29","1","22.29","20.79","24.89"
"18351","COESTI (Primax)","LIMA","SAN ISIDRO","AV. REPUBLICA DE PANAMA Nº 3690 - 3696","-12.101795","-77.019135","23.29","1","22.29","21.29","26.19"
"15491","COESTI (Primax)","LIMA","PACHACAMAC","AV. VICTOR MALASQUEZ S/N SECTOR NUEVO PROGRESO, MZ. V, LOTES 130 Y 131 (AHORA SEGÚN CONSTANCIA MUNICIPAL AV. VICTOR MALASQUEZ LTE. 217)","-12.12391","-76.87202","23.29","1","22.29","21.89","25.99"
"9464","COESTI (Primax)","LIMA","LA VICTORIA","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","-12.083554","-77.01253","23.29","1","22.29","21.69","25.39"
"9247","COESTI (Primax)","LIMA","SANTIAGO DE SURCO","AV. BENAVIDES Y CAMINOS DEL INCA N° 2009 Y 2017, URB. LAS GARDENIAS, 3RA ETAPA","-12.130175","-76.98178","23.39","1","22.39","21.55","25.45"
"130775","COESTI (Primax)","LIMA","SAN MIGUEL","AV. LA PAZ Y CALLE GRAN MARISCAL AGUSTIN GAMARRA MESSIA (ANTES JIRON) DENOMINADO LOTE 246, SUBLOTE A,B,C Y D DE LA MZ. 14 URBANIZACIÓN MIRAMAR..","-12.0841055","-77.096214","23.39","1","22.39","20.99","26.05"
"16694","Primax afiliada","LIMA","SAN MIGUEL","AV. LA MAR N° 2382 Y AV. RIVAGÜERO N° 810 URB. PANDO IV ETAPA (ANTES AV. RIVA AGUERO ESQ. CON LA MAR)","-12.074424","-77.08356","23.39","1","22.39","21.49","26.89"
"8586","COESTI (Primax)","LIMA","SAN MIGUEL","AV. LA PAZ N° 915. ESQ. CON CALLE INCLAN","-12.086471","-77.09147","23.39","1","22.39","21.59","26.49"
"135513","COESTI (Primax)","LIMA","SAN JUAN DE LURIGANCHO","AV. LURIGANCHO MZ. B LOTE 10 A,B,C,D, E Y SUB LOTE 10 F1","-12.016828","-76.99523","23.39","1","22.39","21.89","25.19"
"14691","COESTI (Primax)","LIMA","SAN BORJA","AV. JOSE GALVEZ BARRENECHEA ESQ. CON LA CALLE 32","-12.107555","-77.01028","23.45","1","22.45","21.55","25.19"
"38655","COESTI (Primax)","LIMA","SURQUILLO","AV. AVIACION N° 4524 ESQUINA CON LA AV. VILLARAN","-12.120271","-76.9985","23.49","1","22.49","21.49","25.89"
"8063","COESTI (Primax)","LIMA","SANTIAGO DE SURCO","AV. JAVIER PRADO ESTE S/N CUADRA 44, URB. FUNDO MONTERRICO CHICO","-12.08444","-76.97465","23.49","1","22.49","22.49","25.39"
"7955","COESTI (Primax)","LIMA","SAN MIGUEL","AV. LA MARINA N° 2185, ESQUINA AV. RIVA AGÜERO","-12.07834","-77.08427","23.49","1","22.49","21.89","26.89"
"15207","COESTI (Primax)","LIMA","SAN BORJA","ESQ. DE LA AV. SAN LUIS N° 2605 CON SAN BORJA SUR","-12.100746","-76.99435","23.49","1","22.49","21.49","25.39"
"16645","COESTI (Primax)","LIMA","SAN BORJA","AV. SAN LUIS Nº 2480","-12.098237","-76.995155","23.49","1","22.49","21.49","25.39"
"7003","COESTI (Primax)","LIMA","LA MOLINA","AV. PROLONGACION JAVIER PRADO ESTE N° 610 - URB. LA RIVIERA DE MONTERRICO","-12.06996","-76.95112","23.49","1","22.49","22.29","25.79"
"97328","COESTI (Primax)","LIMA","LA MOLINA","AV. LOS FRUTALES N° 994, ACUMULACIÓN DE LOS LOTES 1 Y 2, MANZANA A, URBANIZACIÓN CAMINO REAL","-12.07304","-76.96467","23.49","1","22.49","22.29","25.49"
"7026","Repsol","LIMA","SAN JUAN DE MIRAFLORES","AV. LOS HEROES N° 1366 -1372, URB. JARDIN","-12.16145","-76.95651","25.49","3","22.49","23.49","27.99"
"14682","Repsol","LIMA","LA MOLINA","AV. JAVIER PRADO ESTE N° 5313 CON AV. LOS FRUTALES","-12.076208","-76.96363","25.49","3","22.49","22.99","27.99"
"6874","Repsol","LIMA","INDEPENDENCIA","AV. GERARDO UNGER N° 3689, MZ D LOTE 26, URB. HABILITACIÓN PANAMERICANA NORTE","-11.989406","-77.05751","25.49","3","22.49","22.99","27.99"
"87014","AVA (Global Fuel)","LIMA","PUEBLO LIBRE","AV. SIMÓN BOLIVAR 496 - 498, ESQUINA JR. BELGRANO 110 - 120","-12.072066","-77.05769","22.59","0","22.59","21.59","26.99"
"14715","AVA (Global Fuel)","LIMA","SAN LUIS","AV. NICOLAS ARRIOLA N° 3191","-12.064704","-76.99077","22.59","0","22.59","21.59","26.99"
"9616","COESTI (Primax)","LIMA","VILLA EL SALVADOR","AV. LIMA ESQUINA AV. MARIA REICHE, MZ. C, LOTE 17, AA.HH. VILLA LA PAZ","-12.2394285","-76.91289","23.59","1","22.59","22.35","25.39"
"8479","COESTI (Primax)","LIMA","SAN MIGUEL","AV. LA PAZ 1200, ESQUINA CALLE FRANCISCO DE ZELA","-12.085209","-77.093834","23.59","1","22.59","21.49","26.49"
