Nombre,Latitude,Longitude,Marca,Distrito,Zona,Direccion,Premium_con_descuento,Premium_lista,Descuento,Regular_lista,Diesel_lista,Codigo_Osinergmin,Actualizado
"Primax S/ 21.49","-11.95587","-77.05948","Primax","COMAS","Lima","ESQUINA DE LA AV. UNIVERSITARIA Y AV. MEXICO CALLE L, MZ. D, LOTE 34, 35 Y 36 URB. SANTA ISOLINA 2DA ETAPA","21.49","22.49","1.00","20.99","26.05","14637","2026-09-23"
"Primax S/ 21.49","-12.062676","-76.98173","Primax","ATE","Lima","AV. NICOLAS AYLLON Nº 2237","21.49","22.49","1.00","21.39","24.99","7157","2026-09-23"
"Primax S/ 21.49","-12.0479","-77.0594","Primax","LIMA","Lima","AV. OSCAR R. BENAVIDES N° 1380","21.49","22.49","1.00","21.19","25.49","19945","2026-09-23"
"Primax S/ 21.49","-12.047759","-77.05358","Primax","LIMA","Lima","AV. MARISCAL OSCAR R. BENAVIDES Nº 871 (ANTES: AV. COLONIAL ESQ. AV. TINGO MARIA)","21.49","22.49","1.00","21.29","25.25","21052","2026-09-23"
"Primax S/ 21.49","-12.046532","-77.0458","Primax","LIMA","Lima","AV. COLONIAL N° 300 (ANTES AV. OSCAR R. BENAVIDES) ESQUINA CON JR. ASCOPE","21.49","22.49","1.00","21.29","25.99","7170","2026-09-23"
"Primax S/ 21.49","-12.045875","-77.065544","Primax","LIMA","Lima","AV. ARGENTINA N° 1801","21.49","22.49","1.00","20.69","25.99","8228","2026-09-23"
"Repsol S/ 21.49","-12.068732","-77.038124","Repsol","JESUS MARIA","Lima","AVENIDA GENERAL ALVAREZ DE ARENALES N° 400","21.49","24.49","3.00","21.99","27.99","6751","2026-09-23"
"Primax S/ 21.59","-12.139199","-76.994225","Primax","SANTIAGO DE SURCO","Lima","AV. TOMAS MARSANO Nº 4080 ESQUINA CON AV. SURCO","21.59","22.59","1.00","20.99","25.29","19989","2026-09-23"
"Primax S/ 21.59","-12.012953","-77.08542","Primax","SAN MARTIN DE PORRES","Lima","AV. TOMAS VALLE N° 1981. ESQ. CALLE BAQUIJANO Y CARRILLO","21.59","22.59","1.00","20.79","26.55","6880","2026-09-23"
"Primax S/ 21.59","-12.021087","-77.006134","Primax","SAN JUAN DE LURIGANCHO","Lima","AV. PROCERES DE LA INDEPENDENCIA N° 701 - 709","21.59","22.59","1.00","21.09","24.99","83665","2026-09-23"
"Primax S/ 21.59","-12.031479","-77.011925","Primax","SAN JUAN DE LURIGANCHO","Lima","AV. PRÓCERES DE LA INDEPENCIA Nº 104. URB ZARATE","21.59","22.59","1.00","21.35","25.39","9593","2026-09-23"
"Primax S/ 21.59","-12.063092","-76.98306","Primax","ATE","Lima","AV. NICOLAS AYLLON N° 2039","21.59","22.59","1.00","21.39","24.99","85698","2026-09-23"
"AVA S/ 21.65","-12.246785","-76.93724","AVA","LURIN","Lima","CARRETERA PANAMERICANA SUR KM. 24","21.65","21.65","0.00","20.45","24.55","83174","2026-09-23"
"Primax S/ 21.69","-12.071927","-77.06463","Primax","PUEBLO LIBRE","Lima","AV. BOLIVAR N° 1020. ESQ CON AV. GENERAL CORDOVA","21.69","22.69","1.00","21.79","26.49","7310","2026-09-23"
